make_snake,make,model_snake,model
bmw,BMW,m_4_cs,M4 CS
bmw,BMW,m_4_csl,M4 CSL
bmw,BMW,m_4_gts,M4 GTS
bmw,BMW,m_5,M5
bmw,BMW,m_5_cs,M5 CS
bmw,BMW,m_6,M6
bmw,BMW,m_6_gran_coupe,M6 Gran Coupe
bmw,BMW,m_8,M8
bmw,BMW,m_8_gran_coupe,M8 Gran Coupe
bmw,BMW,x_1,X1
bmw,BMW,x_2,X2
bmw,BMW,x_3,X3
bmw,BMW,x_3_m,X3 M
bmw,BMW,x_4,X4
bmw,BMW,x_4_m,X4 M
bmw,BMW,x_5,X5
bmw,BMW,x_5_e_drive,X5 eDrive
bmw,BMW,x_5_m,X5 M
bmw,BMW,x_6,X6
bmw,BMW,x_6_m,X6 M
bmw,BMW,x_7,X7
bmw,BMW,xm,XM
bmw,BMW,z_3,Z3
bmw,BMW,z_4,Z4
bmw,BMW,z_4_m,Z4 M
bmw,BMW,z_8,Z8
bugatti,Bugatti,veyron_16_4,Veyron 16.4
buick,Buick,cascada,Cascada
buick,Buick,century,Century
buick,Buick,electra,Electra
buick,Buick,enclave,Enclave
buick,Buick,encore,Encore
buick,Buick,encore_gx,Encore GX
buick,Buick,envision,Envision
buick,Buick,envista,Envista
buick,Buick,estate_wagon,Estate Wagon
buick,Buick,la_crosse,LaCrosse
buick,Buick,le_sabre,LeSabre
buick,Buick,lucerne,Lucerne
buick,Buick,park_avenue,Park Avenue
buick,Buick,rainier,Rainier
buick,Buick,reatta,Reatta
buick,Buick,regal,Regal
buick,Buick,regal_sportback,Regal Sportback
buick,Buick,regal_tour_x,Regal TourX
buick,Buick,rendezvous,Rendezvous
buick,Buick,riviera,Riviera
buick,Buick,roadmaster,Roadmaster
buick,Buick,skylark,Skylark
buick,Buick,terraza,Terraza
buick,Buick,verano,Verano
cadillac,Cadillac,allante,Allante
cadillac,Cadillac,ats,ATS
cadillac,Cadillac,ats_coupe,ATS Coupe
cadillac,Cadillac,ats_v,ATS-V
cadillac,Cadillac,brougham,Brougham
cadillac,Cadillac,catera,Catera
cadillac,Cadillac,ct_4,CT4
cadillac,Cadillac,ct_4_v_blackwing,CT4-V Blackwing
cadillac,Cadillac,ct_5,CT5
cadillac,Cadillac,ct_5_v_blackwing,CT5-V Blackwing
cadillac,Cadillac,ct_6,CT6
cadillac,Cadillac,ct_6_v,CT6-V
cadillac,Cadillac,cts,CTS
cadillac,Cadillac,cts_coupe,CTS Coupe
cadillac,Cadillac,cts_wagon,CTS Wagon
cadillac,Cadillac,cts_v,CTS-V
cadillac,Cadillac,cts_v_coupe,CTS-V Coupe
cadillac,Cadillac,cts_v_wagon,CTS-V Wagon
cadillac,Cadillac,de_ville,DeVille
cadillac,Cadillac,dts,DTS
cadillac,Cadillac,eldorado,Eldorado
cadillac,Cadillac,elr,ELR
cadillac,Cadillac,escalade,Escalade
cadillac,Cadillac,escalade_esv,Escalade ESV
cadillac,Cadillac,escalade_ext,Escalade EXT
cadillac,Cadillac,escalade_hybrid,Escalade Hybrid
cadillac,Cadillac,fleetwood,Fleetwood
cadillac,Cadillac,lyriq,LYRIQ
cadillac,Cadillac,seville,Seville
cadillac,Cadillac,srx,SRX
cadillac,Cadillac,sts,STS
cadillac,Cadillac,sts_v,STS-V
cadillac,Cadillac,xlr,XLR
cadillac,Cadillac,xlr_v,XLR-V
cadillac,Cadillac,xt_4,XT4
cadillac,Cadillac,xt_5,XT5
cadillac,Cadillac,xt_6,XT6
cadillac,Cadillac,xts,XTS
chevrolet,Chevrolet,astro,Astro
chevrolet,Chevrolet,astro_cargo,Astro Cargo
chevrolet,Chevrolet,avalanche,Avalanche
chevrolet,Chevrolet,aveo,Aveo
chevrolet,Chevrolet,beretta,Beretta
chevrolet,Chevrolet,black_diamond_avalanche,Black Diamond Avalanche
chevrolet,Chevrolet,blazer,Blazer
chevrolet,Chevrolet,blazer_ev,Blazer EV
chevrolet,Chevrolet,bolt_euv,Bolt EUV
chevrolet,Chevrolet,bolt_ev,Bolt EV
chevrolet,Chevrolet,c_k_1500_series,C/K 1500 Series
chevrolet,Chevrolet,c_k_2500_series,C/K 2500 Series
chevrolet,Chevrolet,c_k_3500_series,C/K 3500 Series
chevrolet,Chevrolet,camaro,Camaro
chevrolet,Chevrolet,caprice,Caprice
chevrolet,Chevrolet,captiva_sport,Captiva Sport
chevrolet,Chevrolet,cavalier,Cavalier
chevrolet,Chevrolet,celebrity,Celebrity
chevrolet,Chevrolet,chevy_van,Chevy Van
chevrolet,Chevrolet,chevy_van_classic,Chevy Van Classic
chevrolet,Chevrolet,city_express,City Express
chevrolet,Chevrolet,classic,Classic
chevrolet,Chevrolet,cobalt,Cobalt
chevrolet,Chevrolet,colorado,Colorado
chevrolet,Chevrolet,corsica,Corsica
chevrolet,Chevrolet,corvette,Corvette
chevrolet,Chevrolet,corvette_stingray,Corvette Stingray
chevrolet,Chevrolet,cruze,Cruze
chevrolet,Chevrolet,cruze_limited,Cruze Limited
chevrolet,Chevrolet,equinox,Equinox
chevrolet,Chevrolet,express,Express
chevrolet,Chevrolet,express_cargo,Express Cargo
chevrolet,Chevrolet,hhr,HHR
chevrolet,Chevrolet,impala,Impala
chevrolet,Chevrolet,impala_limited,Impala Limited
chevrolet,Chevrolet,lumina,Lumina
chevrolet,Chevrolet,lumina_minivan,Lumina Minivan
chevrolet,Chevrolet,malibu,Malibu
chevrolet,Chevrolet,malibu_classic,Malibu Classic
chevrolet,Chevrolet,malibu_hybrid,Malibu Hybrid
chevrolet,Chevrolet,malibu_limited,Malibu Limited
chevrolet,Chevrolet,malibu_maxx,Malibu Maxx
chevrolet,Chevrolet,metro,Metro
chevrolet,Chevrolet,monte_carlo,Monte Carlo
chevrolet,Chevrolet,prizm,Prizm
chevrolet,Chevrolet,r_v_3500_series,R/V 3500 Series
chevrolet,Chevrolet,s_10,S-10
chevrolet,Chevrolet,s_10_blazer,S-10 Blazer
chevrolet,Chevrolet,silverado_1500,Silverado 1500
chevrolet,Chevrolet,silverado_1500_classic,Silverado 1500 Classic
chevrolet,Chevrolet,silverado_1500_hybrid,Silverado 1500 Hybrid
chevrolet,Chevrolet,silverado_1500_ld,Silverado 1500 LD
chevrolet,Chevrolet,silverado_1500_limited,Silverado 1500 Limited
chevrolet,Chevrolet,silverado_1500_hd,Silverado 1500HD
chevrolet,Chevrolet,silverado_1500_hd_classic,Silverado 1500HD Classic
chevrolet,Chevrolet,silverado_2500,Silverado 2500
chevrolet,Chevrolet,silverado_2500_hd,Silverado 2500HD
chevrolet,Chevrolet,silverado_2500_hd_classic,Silverado 2500HD Classic
chevrolet,Chevrolet,silverado_3500,Silverado 3500
chevrolet,Chevrolet,silverado_3500_classic,Silverado 3500 Classic
chevrolet,Chevrolet,silverado_3500_hd,Silverado 3500HD
chevrolet,Chevrolet,sonic,Sonic
chevrolet,Chevrolet,spark,Spark
chevrolet,Chevrolet,spark_ev,Spark EV
chevrolet,Chevrolet,ss,SS
chevrolet,Chevrolet,ssr,SSR
chevrolet,Chevrolet,suburban,Suburban
chevrolet,Chevrolet,tahoe,Tahoe
chevrolet,Chevrolet,tahoe_hybrid,Tahoe Hybrid
chevrolet,Chevrolet,tracker,Tracker
chevrolet,Chevrolet,trailblazer,Trailblazer
chevrolet,Chevrolet,trail_blazer,TrailBlazer
chevrolet,Chevrolet,trail_blazer_ext,TrailBlazer EXT
chevrolet,Chevrolet,traverse,Traverse
chevrolet,Chevrolet,trax,Trax
chevrolet,Chevrolet,uplander,Uplander
chevrolet,Chevrolet,venture,Venture
chevrolet,Chevrolet,volt,Volt
chrysler,Chrysler,200,200
chrysler,Chrysler,300,300
chrysler,Chrysler,300_m,300M
chrysler,Chrysler,aspen,Aspen
chrysler,Chrysler,cirrus,Cirrus
chrysler,Chrysler,concorde,Concorde
chrysler,Chrysler,crossfire,Crossfire
chrysler,Chrysler,imperial,Imperial
chrysler,Chrysler,lhs,LHS
chrysler,Chrysler,new_yorker,New Yorker
chrysler,Chrysler,pacifica,Pacifica
chrysler,Chrysler,pacifica_hybrid,Pacifica Hybrid
chrysler,Chrysler,prowler,Prowler
chrysler,Chrysler,pt_cruiser,PT Cruiser
chrysler,Chrysler,sebring,Sebring
chrysler,Chrysler,tc,TC
chrysler,Chrysler,town_and_country,Town and Country
chrysler,Chrysler,voyager,Voyager
daewoo,Daewoo,lanos,Lanos
daewoo,Daewoo,leganza,Leganza
daewoo,Daewoo,nubira,Nubira
dodge,Dodge,avenger,Avenger
dodge,Dodge,caliber,Caliber
dodge,Dodge,caravan,Caravan
dodge,Dodge,challenger,Challenger
dodge,Dodge,charger,Charger
dodge,Dodge,colt,Colt
dodge,Dodge,dakota,Dakota
dodge,Dodge,dart,Dart
dodge,Dodge,daytona,Daytona
dodge,Dodge,durango,Durango
dodge,Dodge,dynasty,Dynasty
dodge,Dodge,grand_caravan,Grand Caravan
dodge,Dodge,hornet,Hornet
dodge,Dodge,intrepid,Intrepid
dodge,Dodge,journey,Journey
dodge,Dodge,magnum,Magnum
dodge,Dodge,monaco,Monaco
dodge,Dodge,neon,Neon
dodge,Dodge,nitro,Nitro
dodge,Dodge,omni,Omni
dodge,Dodge,ram_150,RAM 150
dodge,Dodge,ram_250,RAM 250
dodge,Dodge,ram_350,RAM 350
dodge,Dodge,ram_50_pickup,Ram 50 Pickup
dodge,Dodge,ram_cargo,Ram Cargo
dodge,Dodge,ram_pickup_1500,Ram Pickup 1500
dodge,Dodge,ram_pickup_2500,Ram Pickup 2500
dodge,Dodge,ram_pickup_3500,Ram Pickup 3500
dodge,Dodge,ram_van,Ram Van
dodge,Dodge,ram_wagon,Ram Wagon
dodge,Dodge,ramcharger,Ramcharger
dodge,Dodge,shadow,Shadow
dodge,Dodge,spirit,Spirit
dodge,Dodge,sprinter,Sprinter
dodge,Dodge,sprinter_cargo,Sprinter Cargo
dodge,Dodge,srt_viper,SRT Viper
dodge,Dodge,stealth,Stealth
dodge,Dodge,stratus,Stratus
dodge,Dodge,viper,Viper
ferrari,Ferrari,360,360
ferrari,Ferrari,430_scuderia,430 Scuderia
ferrari,Ferrari,456_m,456M
ferrari,Ferrari,458_italia,458 Italia
ferrari,Ferrari,488_gtb,488 GTB
ferrari,Ferrari,488_spider,488 Spider
ferrari,Ferrari,550,550
ferrari,Ferrari,575_m,575M
ferrari,Ferrari,599,599
ferrari,Ferrari,612_scaglietti,612 Scaglietti
ferrari,Ferrari,812_superfast,812 Superfast
ferrari,Ferrari,california,California
ferrari,Ferrari,california_t,California T
ferrari,Ferrari,enzo,Enzo
ferrari,Ferrari,f_12_berlinetta,F12 Berlinetta
ferrari,Ferrari,f_430,F430
ferrari,Ferrari,ff,FF
ferrari,Ferrari,gtc_4_lusso,GTC4Lusso
ferrari,Ferrari,portofino,Portofino
ferrari,Ferrari,superamerica,Superamerica
fiat,FIAT,124_spider,124 Spider
fiat,FIAT,500,500
fiat,FIAT,500_e,500e
fiat,FIAT,500_l,500L
fiat,FIAT,500_x,500X
fisker,Fisker,karma,Karma
ford,Ford,aerostar,Aerostar
ford,Ford,aspire,Aspire
ford,Ford,bronco,Bronco
ford,Ford,bronco_ii,Bronco II
ford,Ford,bronco_sport,Bronco Sport
ford,Ford,c_max_energi,C-Max Energi
ford,Ford,c_max_hybrid,C-Max Hybrid
ford,Ford,contour,Contour
ford,Ford,contour_svt,Contour SVT
ford,Ford,crown_victoria,Crown Victoria
ford,Ford,e_150,E-150
ford,Ford,e_250,E-250
ford,Ford,e_350,E-350
ford,Ford,e_series_van,E-Series Van
ford,Ford,e_series_wagon,E-Series Wagon
ford,Ford,e_transit_cargo_van,E-Transit Cargo Van
ford,Ford,econoline_cargo,Econoline Cargo
ford,Ford,econoline_wagon,Econoline Wagon
ford,Ford,eco_sport,EcoSport
ford,Ford,edge,Edge
ford,Ford,escape,Escape
ford,Ford,escape_hybrid,Escape Hybrid
ford,Ford,escape_plug_in_hybrid,Escape Plug-In Hybrid
ford,Ford,escort,Escort
ford,Ford,excursion,Excursion
ford,Ford,expedition,Expedition
ford,Ford,expedition_el,Expedition EL
ford,Ford,explorer,Explorer
ford,Ford,explorer_sport,Explorer Sport
ford,Ford,explorer_sport_trac,Explorer Sport Trac
ford,Ford,f_150,F-150
ford,Ford,f_150_heritage,F-150 Heritage
ford,Ford,f_150_lightning,F-150 Lightning
ford,Ford,f_150_svt_lightning,F-150 SVT Lightning
ford,Ford,f_250,F-250
ford,Ford,f_250_super_duty,F-250 Super Duty
ford,Ford,f_350,F-350
ford,Ford,f_350_super_duty,F-350 Super Duty
ford,Ford,f_450_super_duty,F-450 Super Duty
ford,Ford,festiva,Festiva
ford,Ford,fiesta,Fiesta
ford,Ford,five_hundred,Five Hundred
ford,Ford,flex,Flex
ford,Ford,focus,Focus
ford,Ford,focus_rs,Focus RS
ford,Ford,focus_st,Focus ST
ford,Ford,freestar,Freestar
ford,Ford,freestyle,Freestyle
ford,Ford,fusion,Fusion
ford,Ford,fusion_energi,Fusion Energi
ford,Ford,fusion_hybrid,Fusion Hybrid
ford,Ford,fusion_plug_in_hybrid,Fusion Plug-In Hybrid
ford,Ford,gt,GT
ford,Ford,ltd_crown_victoria,LTD Crown Victoria
ford,Ford,maverick,Maverick
ford,Ford,mustang,Mustang
ford,Ford,mustang_mach_e,Mustang Mach-E
ford,Ford,mustang_svt_cobra,Mustang SVT Cobra
ford,Ford,probe,Probe
ford,Ford,ranger,Ranger
ford,Ford,shelby_gt_350,Shelby GT350
ford,Ford,shelby_gt_500,Shelby GT500
ford,Ford,taurus,Taurus
ford,Ford,taurus_x,Taurus X
ford,Ford,tempo,Tempo
ford,Ford,thunderbird,Thunderbird
ford,Ford,transit_cargo_van,Transit Cargo Van
ford,Ford,transit_connect,Transit Connect
ford,Ford,transit_connect_cargo_van,Transit Connect Cargo Van
ford,Ford,transit_connect_passenger_wagon,Transit Connect Passenger Wagon
ford,Ford,transit_crew_van,Transit Crew Van
ford,Ford,transit_passenger_van,Transit Passenger Van
ford,Ford,transit_van,Transit Van
ford,Ford,transit_wagon,Transit Wagon
ford,Ford,windstar,Windstar
ford,Ford,windstar_cargo,Windstar Cargo
genesis,Genesis,electrified_g_80,Electrified G80
genesis,Genesis,electrified_gv_70,Electrified GV70
genesis,Genesis,g_70,G70
genesis,Genesis,g_80,G80
genesis,Genesis,g_90,G90
genesis,Genesis,gv_60,GV60
genesis,Genesis,gv_70,GV70
genesis,Genesis,gv_80,GV80
gmc,GMC,acadia,Acadia
gmc,GMC,acadia_limited,Acadia Limited
gmc,GMC,canyon,Canyon
gmc,GMC,envoy,Envoy
gmc,GMC,envoy_xl,Envoy XL
gmc,GMC,envoy_xuv,Envoy XUV
gmc,GMC,hummer_ev,HUMMER EV
gmc,GMC,hummer_ev_suv,HUMMER EV SUV
gmc,GMC,jimmy,Jimmy
gmc,GMC,r_v_3500_series,R/V 3500 Series
gmc,GMC,rally_wagon,Rally Wagon
gmc,GMC,s_15,S-15
gmc,GMC,s_15_jimmy,S-15 Jimmy
gmc,GMC,safari,Safari
gmc,GMC,safari_cargo,Safari Cargo
gmc,GMC,savana,Savana
gmc,GMC,savana_cargo,Savana Cargo
gmc,GMC,sierra_1500,Sierra 1500
gmc,GMC,sierra_1500_classic,Sierra 1500 Classic
gmc,GMC,sierra_1500_hybrid,Sierra 1500 Hybrid
gmc,GMC,sierra_1500_limited,Sierra 1500 Limited
gmc,GMC,sierra_1500_hd,Sierra 1500HD
gmc,GMC,sierra_1500_hd_classic,Sierra 1500HD Classic
gmc,GMC,sierra_2500,Sierra 2500
gmc,GMC,sierra_2500_hd,Sierra 2500HD
gmc,GMC,sierra_2500_hd_classic,Sierra 2500HD Classic
gmc,GMC,sierra_3500,Sierra 3500
gmc,GMC,sierra_3500_classic,Sierra 3500 Classic
gmc,GMC,sierra_3500_hd,Sierra 3500HD
gmc,GMC,sierra_c_3,Sierra C3
gmc,GMC,sonoma,Sonoma
gmc,GMC,suburban,Suburban
gmc,GMC,terrain,Terrain
gmc,GMC,vandura,Vandura
gmc,GMC,yukon,Yukon
gmc,GMC,yukon_hybrid,Yukon Hybrid
gmc,GMC,yukon_xl,Yukon XL
honda,Honda,accord,Accord
honda,Honda,accord_crosstour,Accord Crosstour
honda,Honda,accord_hybrid,Accord Hybrid
honda,Honda,accord_plug_in_hybrid,Accord Plug-In Hybrid
honda,Honda,civic,Civic
honda,Honda,civic_crx,Civic CRX
honda,Honda,civic_del_sol,Civic del Sol
honda,Honda,clarity,Clarity
honda,Honda,cr_v,CR-V
honda,Honda,cr_v_hybrid,CR-V Hybrid
honda,Honda,cr_z,CR-Z
honda,Honda,crosstour,Crosstour
honda,Honda,element,Element
honda,Honda,fit,Fit
honda,Honda,fit_ev,Fit EV
honda,Honda,hr_v,HR-V
honda,Honda,insight,Insight
honda,Honda,odyssey,Odyssey
honda,Honda,passport,Passport
honda,Honda,pilot,Pilot
honda,Honda,prelude,Prelude
honda,Honda,ridgeline,Ridgeline
honda,Honda,s_2000,S2000
hummer,HUMMER,h_1,H1
hummer,HUMMER,h_1_alpha,H1 Alpha
hummer,HUMMER,h_2,H2
hummer,HUMMER,h_2_sut,H2 SUT
hummer,HUMMER,h_3,H3
hummer,HUMMER,h_3_t,H3T
hyundai,Hyundai,accent,Accent
hyundai,Hyundai,azera,Azera
hyundai,Hyundai,elantra,Elantra
hyundai,Hyundai,elantra_coupe,Elantra Coupe
hyundai,Hyundai,elantra_gt,Elantra GT
hyundai,Hyundai,elantra_touring,Elantra Touring
hyundai,Hyundai,entourage,Entourage
hyundai,Hyundai,equus,Equus
hyundai,Hyundai,excel,Excel
hyundai,Hyundai,genesis,Genesis
hyundai,Hyundai,genesis_coupe,Genesis Coupe
hyundai,Hyundai,ioniq_5,IONIQ 5
hyundai,Hyundai,ioniq_6,IONIQ 6
hyundai,Hyundai,ioniq_electric,Ioniq Electric
hyundai,Hyundai,ioniq_hybrid,Ioniq Hybrid
hyundai,Hyundai,ioniq_plug_in_hybrid,Ioniq Plug-In Hybrid
hyundai,Hyundai,kona,Kona
hyundai,Hyundai,kona_electric,Kona Electric
hyundai,Hyundai,nexo,NEXO
hyundai,Hyundai,palisade,Palisade
hyundai,Hyundai,santa_cruz,Santa Cruz
hyundai,Hyundai,santa_fe,Santa Fe
hyundai,Hyundai,santa_fe_hybrid,Santa Fe Hybrid
hyundai,Hyundai,santa_fe_plug_in_hybrid,Santa Fe Plug-In Hybrid
hyundai,Hyundai,santa_fe_sport,Santa Fe Sport
hyundai,Hyundai,santa_fe_xl,Santa Fe XL
hyundai,Hyundai,scoupe,Scoupe
hyundai,Hyundai,sonata,Sonata
hyundai,Hyundai,sonata_hybrid,Sonata Hybrid
hyundai,Hyundai,sonata_plug_in_hybrid,Sonata Plug-in Hybrid
hyundai,Hyundai,tiburon,Tiburon
hyundai,Hyundai,tucson,Tucson
hyundai,Hyundai,tucson_plug_in_hybrid,Tucson Plug-In Hybrid
hyundai,Hyundai,veloster,Veloster
hyundai,Hyundai,venue,Venue
hyundai,Hyundai,veracruz,Veracruz
hyundai,Hyundai,xg_300,XG300
hyundai,Hyundai,xg_350,XG350
infiniti,INFINITI,ex,EX
infiniti,INFINITI,ex_35,EX35
infiniti,INFINITI,fx,FX
infiniti,INFINITI,fx_35,FX35
infiniti,INFINITI,fx_45,FX45
infiniti,INFINITI,fx_50,FX50
infiniti,INFINITI,g_convertible,G Convertible
infiniti,INFINITI,g_coupe,G Coupe
infiniti,INFINITI,g_sedan,G Sedan
infiniti,INFINITI,g_20,G20
infiniti,INFINITI,g_35,G35
infiniti,INFINITI,g_37,G37
infiniti,INFINITI,g_37_convertible,G37 Convertible
infiniti,INFINITI,g_37_coupe,G37 Coupe
infiniti,INFINITI,g_37_sedan,G37 Sedan
infiniti,INFINITI,i_30,I30
infiniti,INFINITI,i_35,I35
infiniti,INFINITI,j_30,J30
infiniti,INFINITI,jx,JX
infiniti,INFINITI,m,M
infiniti,INFINITI,m_30,M30
infiniti,INFINITI,m_35,M35
infiniti,INFINITI,m_37,M37
infiniti,INFINITI,m_45,M45
infiniti,INFINITI,m_56,M56
infiniti,INFINITI,q_40,Q40
infiniti,INFINITI,q_45,Q45
infiniti,INFINITI,q_50,Q50
infiniti,INFINITI,q_60,Q60
infiniti,INFINITI,q_60_convertible,Q60 Convertible
infiniti,INFINITI,q_60_coupe,Q60 Coupe
infiniti,INFINITI,q_70,Q70
infiniti,INFINITI,qx,QX
infiniti,INFINITI,qx_30,QX30
infiniti,INFINITI,qx_4,QX4
infiniti,INFINITI,qx_50,QX50
infiniti,INFINITI,qx_55,QX55
infiniti,INFINITI,qx_56,QX56
infiniti,INFINITI,qx_60,QX60
infiniti,INFINITI,qx_70,QX70
infiniti,INFINITI,qx_80,QX80
isuzu,Isuzu,amigo,Amigo
isuzu,Isuzu,ascender,Ascender
isuzu,Isuzu,axiom,Axiom
isuzu,Isuzu,hombre,Hombre
isuzu,Isuzu,i_series,i-Series
isuzu,Isuzu,impulse,Impulse
isuzu,Isuzu,oasis,Oasis
isuzu,Isuzu,pickup,Pickup
isuzu,Isuzu,rodeo,Rodeo
isuzu,Isuzu,rodeo_sport,Rodeo Sport
isuzu,Isuzu,stylus,Stylus
isuzu,Isuzu,trooper,Trooper
isuzu,Isuzu,vehi_cross,VehiCROSS
jaguar,Jaguar,e_pace,E-PACE
